datetime,datetime,year,month,day,random,sazonal,timeSeries
2032-01-01 00:00:00,2032-01-01 00:00:00,2032,1,1,0.9579856962064024,1.0,10.957985696206402
2032-01-01 01:00:00,2032-01-01 01:00:00,2032,1,1,0.9128420593058423,0.9999997588734665,10.912839648040507
2032-01-01 02:00:00,2032-01-01 02:00:00,2032,1,1,0.13447745864234717,0.9999990354939822,10.13446781358217
2032-01-01 03:00:00,2032-01-01 03:00:00,2032,1,1,0.7354559781997378,0.999997829861896,10.735434276818697
2032-01-01 04:00:00,2032-01-01 04:00:00,2032,1,1,0.2517680809249031,0.9999961419777894,10.251729500702796
2032-01-01 05:00:00,2032-01-01 05:00:00,2032,1,1,0.9810266825719774,0.9999939718424762,10.98096640099674
2032-01-01 06:00:00,2032-01-01 06:00:00,2032,1,1,0.8714900692966424,0.9999913194570031,10.871403263866673
2032-01-01 07:00:00,2032-01-01 07:00:00,2032,1,1,0.3166310100497022,0.9999881848226492,10.316512858276194
2032-01-01 08:00:00,2032-01-01 08:00:00,2032,1,1,0.6536260664672526,0.9999845679409262,10.653471745876514
2032-01-01 09:00:00,2032-01-01 09:00:00,2032,1,1,0.014214737357840734,0.9999804688135782,10.014019425493624
2032-01-01 10:00:00,2032-01-01 10:00:00,2032,1,1,0.25387750667407305,0.9999758874425823,10.253636381099895
2032-01-01 11:00:00,2032-01-01 11:00:00,2032,1,1,0.7608462379619749,0.9999708238301476,10.76055447626345
2032-01-01 12:00:00,2032-01-01 12:00:00,2032,1,1,0.3588065049943733,0.9999652779787161,10.358459284781535
2032-01-01 13:00:00,2032-01-01 13:00:00,2032,1,1,0.35989944217930303,0.9999592498909624,10.359491941088928
2032-01-01 14:00:00,2032-01-01 14:00:00,2032,1,1,0.060295646120247515,0.9999527395697936,10.059823041818182
2032-01-01 15:00:00,2032-01-01 15:00:00,2032,1,1,0.48166583467297874,0.9999457470183493,10.481123304856473
2032-01-01 16:00:00,2032-01-01 16:00:00,2032,1,1,0.7052313317133003,0.9999382722400014,10.704614054113314
2032-01-01 17:00:00,2032-01-01 17:00:00,2032,1,1,0.5233977465076993,0.9999303152383551,10.52270089889125
2032-01-01 18:00:00,2032-01-01 18:00:00,2032,1,1,0.005776363076280822,0.9999218760172474,10.004995123248754
2032-01-01 19:00:00,2032-01-01 19:00:00,2032,1,1,0.09811892005763234,0.999912954580748,10.097248465865114
2032-01-01 20:00:00,2032-01-01 20:00:00,2032,1,1,0.9704629229972915,0.9999035509331596,10.969498432328889
2032-01-01 21:00:00,2032-01-01 21:00:00,2032,1,1,0.784073612003979,0.9998936650790171,10.78301026279415
2032-01-01 22:00:00,2032-01-01 22:00:00,2032,1,1,0.9788229064569037,0.9998832970230879,10.977655876687782
2032-01-01 23:00:00,2032-01-01 23:00:00,2032,1,1,0.23979052428801761,0.9998724467703719,10.238514991991735
2032-01-02 00:00:00,2032-01-02 00:00:00,2032,1,2,0.9622179016449479,0.9998611143261019,10.960829044905967
2032-01-02 01:00:00,2032-01-02 01:00:00,2032,1,2,0.8141385484563878,0.9998492996957429,10.812631545413817
2032-01-02 02:00:00,2032-01-02 02:00:00,2032,1,2,0.9956690706998405,0.9998370028849926,10.994039099549767
2032-01-02 03:00:00,2032-01-02 03:00:00,2032,1,2,0.8962170322653182,0.999824223899781,10.894459271263127
2032-01-02 04:00:00,2032-01-02 04:00:00,2032,1,2,0.15360648396796217,0.9998109627462709,10.151716111430671
2032-01-02 05:00:00,2032-01-02 05:00:00,2032,1,2,0.11419370657700523,0.9997972194308576,10.112165900885582
2032-01-02 06:00:00,2032-01-02 06:00:00,2032,1,2,0.5922017475503961,0.9997829939601689,10.590031687152084
2032-01-02 07:00:00,2032-01-02 07:00:00,2032,1,2,0.9217361040254676,0.999768286341065,10.919418967436117
2032-01-02 08:00:00,2032-01-02 08:00:00,2032,1,2,0.42965950179106527,0.9997530965806385,10.42719046759745
2032-01-02 09:00:00,2032-01-02 09:00:00,2032,1,2,0.6528678209966298,0.999737424686215,10.650242067858779
2032-01-02 10:00:00,2032-01-02 10:00:00,2032,1,2,0.3452255422198508,0.9997212706653522,10.342438248873373
2032-01-02 11:00:00,2032-01-02 11:00:00,2032,1,2,0.07988491888699012,0.9997046345258405,10.076931264145394
2032-01-02 12:00:00,2032-01-02 12:00:00,2032,1,2,0.3589936607258739,0.9996875162757026,10.3558688234829
2032-01-02 13:00:00,2032-01-02 13:00:00,2032,1,2,0.19392740834951627,0.9996699159231939,10.190626567581456
2032-01-02 14:00:00,2032-01-02 14:00:00,2032,1,2,0.9304564291204368,0.9996518334768022,10.926974763888458
2032-01-02 15:00:00,2032-01-02 15:00:00,2032,1,2,0.054838772519448464,0.9996332689452478,10.051171461971926
2032-01-02 16:00:00,2032-01-02 16:00:00,2032,1,2,0.882879075530867,0.9996142223374836,10.879021298905704
2032-01-02 17:00:00,2032-01-02 17:00:00,2032,1,2,0.3331082958808199,0.9995946936626949,10.32905523250777
2032-01-02 18:00:00,2032-01-02 18:00:00,2032,1,2,0.4089087046259088,0.9995746829302993,10.404655533928901
2032-01-02 19:00:00,2032-01-02 19:00:00,2032,1,2,0.3762492243226586,0.9995541901499472,10.37179112582213
2032-01-02 20:00:00,2032-01-02 20:00:00,2032,1,2,0.03260399149662607,0.9995332153315211,10.027936144811836
2032-01-02 21:00:00,2032-01-02 21:00:00,2032,1,2,0.2554146424899866,0.9995117584851364,10.25053222734135
