datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.9812225055276086,2022,1,1,1.0,10.981222505527608
2022-01-01 01:00:00,2022-01-01 01:00:00,0.5282907441999904,2022,1,1,0.9999997588734665,10.528288332934656
2022-01-01 02:00:00,2022-01-01 02:00:00,0.751571037926492,2022,1,1,0.9999990354939822,10.751561392866314
2022-01-01 03:00:00,2022-01-01 03:00:00,0.3736205942418088,2022,1,1,0.999997829861896,10.373598892860768
2022-01-01 04:00:00,2022-01-01 04:00:00,0.508970148139618,2022,1,1,0.9999961419777894,10.50893156791751
2022-01-01 05:00:00,2022-01-01 05:00:00,0.3934223476213752,2022,1,1,0.9999939718424762,10.393362066046137
2022-01-01 06:00:00,2022-01-01 06:00:00,0.7163008831427015,2022,1,1,0.9999913194570031,10.716214077712731
2022-01-01 07:00:00,2022-01-01 07:00:00,0.8878777264311021,2022,1,1,0.9999881848226492,10.887759574657593
2022-01-01 08:00:00,2022-01-01 08:00:00,0.319094538320714,2022,1,1,0.9999845679409262,10.318940217729976
2022-01-01 09:00:00,2022-01-01 09:00:00,0.9265753675290995,2022,1,1,0.9999804688135782,10.926380055664882
2022-01-01 10:00:00,2022-01-01 10:00:00,0.6135619815008353,2022,1,1,0.9999758874425823,10.613320855926657
2022-01-01 11:00:00,2022-01-01 11:00:00,0.7485458463798723,2022,1,1,0.9999708238301476,10.74825408468135
2022-01-01 12:00:00,2022-01-01 12:00:00,0.8702327737046128,2022,1,1,0.9999652779787161,10.869885553491775
2022-01-01 13:00:00,2022-01-01 13:00:00,0.11206064296356077,2022,1,1,0.9999592498909624,10.111653141873186
2022-01-01 14:00:00,2022-01-01 14:00:00,0.3062507426464679,2022,1,1,0.9999527395697936,10.305778138344403
2022-01-01 15:00:00,2022-01-01 15:00:00,0.3772711052729436,2022,1,1,0.9999457470183493,10.376728575456436
2022-01-01 16:00:00,2022-01-01 16:00:00,0.2824311546681505,2022,1,1,0.9999382722400014,10.281813877068165
2022-01-01 17:00:00,2022-01-01 17:00:00,0.012111602158721535,2022,1,1,0.9999303152383551,10.011414754542272
2022-01-01 18:00:00,2022-01-01 18:00:00,0.3684135491404015,2022,1,1,0.9999218760172474,10.367632309312874
2022-01-01 19:00:00,2022-01-01 19:00:00,0.35017694925687226,2022,1,1,0.999912954580748,10.349306495064353
2022-01-01 20:00:00,2022-01-01 20:00:00,0.4386909974406854,2022,1,1,0.9999035509331596,10.437726506772282
2022-01-01 21:00:00,2022-01-01 21:00:00,0.44944590971572607,2022,1,1,0.9998936650790171,10.448382560505896
2022-01-01 22:00:00,2022-01-01 22:00:00,0.6809678027215025,2022,1,1,0.9998832970230879,10.679800772952381
2022-01-01 23:00:00,2022-01-01 23:00:00,0.39984251654605263,2022,1,1,0.9998724467703719,10.398566984249772
2022-01-02 00:00:00,2022-01-02 00:00:00,0.0009417180763434674,2022,1,2,0.9998611143261019,9.999552861337364
2022-01-02 01:00:00,2022-01-02 01:00:00,0.7685817803782349,2022,1,2,0.9998492996957429,10.767074777335663
2022-01-02 02:00:00,2022-01-02 02:00:00,0.02536905824910607,2022,1,2,0.9998370028849926,10.023739087099033
2022-01-02 03:00:00,2022-01-02 03:00:00,0.9400362616565308,2022,1,2,0.999824223899781,10.93827850065434
2022-01-02 04:00:00,2022-01-02 04:00:00,0.16163936436448456,2022,1,2,0.9998109627462709,10.159748991827193
2022-01-02 05:00:00,2022-01-02 05:00:00,0.5558796657696121,2022,1,2,0.9997972194308576,10.55385186007819
2022-01-02 06:00:00,2022-01-02 06:00:00,0.9539397771673777,2022,1,2,0.9997829939601689,10.951769716769066
2022-01-02 07:00:00,2022-01-02 07:00:00,0.4340399342442318,2022,1,2,0.999768286341065,10.431722797654881
2022-01-02 08:00:00,2022-01-02 08:00:00,0.5806447617598998,2022,1,2,0.9997530965806385,10.578175727566284
2022-01-02 09:00:00,2022-01-02 09:00:00,0.8869593665652197,2022,1,2,0.999737424686215,10.88433361342737
2022-01-02 10:00:00,2022-01-02 10:00:00,0.2531597819343684,2022,1,2,0.9997212706653522,10.25037248858789
2022-01-02 11:00:00,2022-01-02 11:00:00,0.18191308111807614,2022,1,2,0.9997046345258405,10.17895942637648
2022-01-02 12:00:00,2022-01-02 12:00:00,0.7654434246351357,2022,1,2,0.9996875162757026,10.762318587392162
2022-01-02 13:00:00,2022-01-02 13:00:00,0.48949829029180847,2022,1,2,0.9996699159231939,10.486197449523747
2022-01-02 14:00:00,2022-01-02 14:00:00,0.012168369663229983,2022,1,2,0.9996518334768022,10.008686704431252
2022-01-02 15:00:00,2022-01-02 15:00:00,0.21468684450769426,2022,1,2,0.9996332689452478,10.211019533960172
2022-01-02 16:00:00,2022-01-02 16:00:00,0.8211477534339595,2022,1,2,0.9996142223374836,10.817289976808794
2022-01-02 17:00:00,2022-01-02 17:00:00,0.778408891998499,2022,1,2,0.9995946936626949,10.774355828625449
2022-01-02 18:00:00,2022-01-02 18:00:00,0.527966082403098,2022,1,2,0.9995746829302993,10.523712911706092
2022-01-02 19:00:00,2022-01-02 19:00:00,0.3443474435980689,2022,1,2,0.9995541901499472,10.339889345097541
2022-01-02 20:00:00,2022-01-02 20:00:00,0.6995294086752057,2022,1,2,0.9995332153315211,10.694861561990416
2022-01-02 21:00:00,2022-01-02 21:00:00,0.6221974292753977,2022,1,2,0.9995117584851364,10.617315014126762
2022-01-02 22:00:00,2022-01-02 22:00:00,0.046359419639537824,2022,1,2,0.9994898196211406,10.041257615850943
2022-01-02 23:00:00,2022-01-02 23:00:00,0.5307887832004963,2022,1,2,0.9994673987501137,10.525462770701633
2022-01-03 00:00:00,2022-01-03 00:00:00,0.7483432799515217,2022,1,3,0.9994444958828685,10.742788238780207
2022-01-03 01:00:00,2022-01-03 01:00:00,0.18912445769749187,2022,1,3,0.9994211110304497,10.18333556800199
2022-01-03 02:00:00,2022-01-03 02:00:00,0.11614228426007411,2022,1,3,0.999397244204135,10.110114726301425
2022-01-03 03:00:00,2022-01-03 03:00:00,0.8720766035191433,2022,1,3,0.999372895415434,10.865805557673482
2022-01-03 04:00:00,2022-01-03 04:00:00,0.08531983849915181,2022,1,3,0.999348064676089,10.078800485260041
2022-01-03 05:00:00,2022-01-03 05:00:00,0.41757948009653245,2022,1,3,0.999322751998075,10.410807000077282
2022-01-03 06:00:00,2022-01-03 06:00:00,0.1857117941409373,2022,1,3,0.9992969573935987,10.178681368076925
2022-01-03 07:00:00,2022-01-03 07:00:00,0.2031422397102296,2022,1,3,0.9992706808750998,10.195849048461229
2022-01-03 08:00:00,2022-01-03 08:00:00,0.7236156807243417,2022,1,3,0.9992439224552503,10.716054905276843
